Feature ID	Taxon																										
a0140_AY289748.1_mcrA_Methanothermobacter_wolfeii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter wolfeii																										
a0141_AY289749.1_mrtA_Methanothermobacter_wolfeii	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanothermobacter (mrtA);s__Methanothermobacter wolfeii (mrtA)																										
a0143_AY289751.1_mrtA_Methanobacterium_thermaggregans	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobacterium (mrtA);s__Methanobacterium thermaggregans (mrtA)																										
a0144_AY289752.1_mcrA_Methanothermobacter_thermophilus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter thermophilus																										
a0145_AY289753.1_mrtA_Methanothermobacter_thermophilus	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanothermobacter (mrtA);s__Methanothermobacter thermophilus (mrtA)																										
a0146_AY303950.1_mcrA_Methanothermobacter_thermoflexus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter thermoflexus																										
a0147_AY303951.1_mrtA_Methanothermobacter_thermoflexus	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanothermobacter (mrtA);s__Methanothermobacter thermoflexus (mrtA)																										
a0148_AY354031.1_mcrA_Methanocaldococcus_infernus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus infernus																										
a0149_AY354032.1_mcrA_Methanocaldococcus_infernus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus infernus																										
a0150_AY354033.1_mcrA_Methanothermococcus_okinawensis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanothermococcus;s__Methanothermococcus okinawensis																										
a0151_AY354034.1_mcrA_Methanococcus_aeolicus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus aeolicus																										
a0152_AY354035.1_mcrA_Methanocaldococcus_infernus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus infernus																										
a0153_AY386125.1_mcrA_Methanobacterium_aarhusense	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium aarhusense																										
a0154_AZAJ01000001.1_mcrA_product_or_note_1_Methanolobus_tindarius	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus tindarius																										
a0159_BAAHFC010000003.1_mcrA_gene_1_Methanothermobacter_thermautotrophicus	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanothermobacter (mrtA);s__Methanothermobacter thermautotrophicus (mrtA)																										
a0160_BAAHFC010000003.1_mcrA_gene_2_Methanothermobacter_thermautotrophicus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter thermautotrophicus																										
a0161_BAAHXG010000001.1_mcrA_gene_1_Methanobacterium_movens	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium movens																										
a0162_BAAHXG010000001.1_mcrA_gene_2_Methanobacterium_movens	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobacterium (mrtA);s__Methanobacterium movens (mrtA)																										
a0165_BAAIGF010000001.1_mcrA_gene_1_Methanogenium_cariaci	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanogenium;s__Methanogenium cariaci																										
a0166_BAAJPX010000032.1_mcrA_product_or_note_1_Candidatus_Methanogasteraceae_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__Candidatus Methanogasteraceae;s__Candidatus Methanogasteraceae archaeon																										
a0167_BAAJPY010000024.1_mcrA_product_or_note_1_Candidatus_Methanophagaceae_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Candidatus Methanophagales;f__Candidatus Methanophagaceae;g__Candidatus Methanophagaceae incertae sedis;s__Candidatus Methanophagaceae archaeon																										
